姓名,地址,户型,区域,标签,价格
旭辉城,巴南龙洲湾 渝南大道233号,1室/2室/3室,47-106㎡,"在售,住宅,刚需房,低总价,品牌开发商,大型社区",均价 8000 元/㎡
斌鑫江南御府,巴南李家沱 龙洲大道1778号,1室/2室/3室/4室,45-95㎡,"待售,住宅,低单价,露台,小三室,品牌开发商",均价 8800 元/㎡
清能小南海花园,巴南龙洲湾 巴滨路与龙海大道交汇处东200米,2室/3室,76-166㎡,"待售,住宅,飘窗,双卫,小户型,大户型",售价待定
公园大道,渝北中央公园 公园东路,2室/3室/4室,117-199㎡,"待售,住宅,轨交房,人车分流,运动健身,车位充足",售价待定
恒大金碧天下,江津江津 双福新区福云路与津马大道交汇处,1室/2室/3室/4室/5室/6室,50-241㎡,"在售,住宅,新开盘,投资地产,复合地产,低密度",最低 6887 元/㎡起
长嘉汇,南岸南滨路 泰昌路69号,2室/3室/4室/6室,71-286㎡,"在售,住宅,三房朝南,大挑高,主卧套房,入户花园",最低 20000 元/㎡起
恒大未来城,"沙坪坝西永 思贤路,近大学城南二路",2室/3室,79-128㎡,"在售,住宅,学校,大型社区,品牌开发商,大型超市",均价 10300 元/㎡
国博城,渝北两江新区 国博大道21号,2室/3室/4室/别墅,56-375㎡,"待售,住宅,复合地产,主卧套房,入户花园,大型社区",售价待定
江北嘴新鸥鹏教育城,江北江北嘴 北滨二路（中央公园旁）,3室/4室,105-166㎡,"在售,住宅,轨交房,主卧套房,豪宅,大平层",均价 19000 元/㎡
保利山庄江天悦,江北观音桥 江北鸿恩寺公园对面,4室,117-152㎡,"在售,住宅,新开盘,双卫,使用面积多,改善房",最低 15000 元/㎡起
万科金域蓝湾,渝北汽博中心 果塘路66号,2室/3室/4室/5室,110-227㎡,"待售,住宅,即将开盘,刚需房,改善房,低单价",售价待定
中国铁建花语佰骊,巴南李家沱 重庆·巴南·融汇大道,2室/3室/别墅,70-130㎡,"待售,别墅,即将开盘,改善房,学校,银行",售价待定
万科御澜道,江北江北嘴 江北区新溉大道与北滨二路交汇处万科御...,3室/4室/5室/6室,158-282㎡,"待售,住宅,即将开盘,综合体,大户型,商场",售价待定
鹏润悦秀城,九龙坡石桥铺 石杨路中段,商住,37-39㎡,"待售,住宅,轨交房,大型社区,美食街,刚需房",售价待定
龙湖拉特芳斯,沙坪坝大学城 西永国际商务区（轻轨1号线微电园站旁...,1室/2室/3室/商住,19-66㎡,"待售,住宅,低总价,投资地产,品牌开发商,loft",售价待定
华宇龙湾,巴南巴滨路 巴滨路68号,3室/4室/5室,111-176㎡,"在售,住宅,loft,带幼儿园,入户花园,江景",均价 12000 元/㎡
鲁能星城,渝北龙头寺 渝鲁大道777号,2室/商住,41-99㎡,"在售,商住,轨交房,新开盘,公交枢纽,养老房",最低 11500 元/㎡起
铂悦澜庭,南岸南滨路 南滨路北段（大佛寺大桥南桥头下）,4室,133-141㎡,"待售,住宅,品牌开发商,江景,洋房,商场",售价待定
融创春晖十里,大渡口其他 春晖南金桥路车家坪,2室/3室/4室,64-139㎡,"待售,住宅,江景,大型社区,大阳台,公园",售价待定
新鸥鹏拉菲公馆,巴南龙洲湾 鸥鹏大道2号,2室/3室/4室,73-139㎡,"在售,住宅,山景,低单价,车位充足,豪宅",均价 8300 元/㎡
富力城,沙坪坝大学城 中路46号(重庆师范大学对面),商住,45㎡,"在售,商住,轨交房,高尔夫球场,洋房,带幼儿园",最低 7000 元/㎡起
保利观塘,南岸学府路 南坪镇街道二塘路79号,2室/3室/4室,49-130㎡,"待售,住宅,低单价,小三室,低总价",售价待定
鸿府,渝北回兴 宝环路3号(机场路宝石路交汇处),1室/2室/3室/4室,65-227㎡,"在售,住宅,带网球场,低密度,洋房,带幼儿园",均价 12000 元/㎡
恒大照母山,渝北照母山 金山大道2号大坡隧道口,1室/2室/3室/4室,44-114㎡,"在售,住宅,婚房,非毛坯,山景,公交枢纽",均价 11000 元/㎡
金科空港城,渝北两路空港 博才路5号,2室/3室,59-81㎡,"在售,住宅,品牌开发商,商场,带泳池,主卧套房",均价 11000 元/㎡
江山樾,"渝北照母山 金通大道,近平祥路",2室/4室,96-144㎡,"在售,住宅,新开盘,品牌开发商,商场,景观小区",最低 160 万元/套起
保利爱尚里,九龙坡石坪桥 石坪桥正街119号（骏逸新视界对面）,2室/3室/4室,56-90㎡,"待售,住宅,复式,人车分流,小三室,改善房",售价待定
联发龙洲湾1号,巴南龙洲湾 重庆市巴南区龙洲湾商圈海洋公园旁·联...,2室/3室/别墅,78-121㎡,"待售,住宅,改善房,游乐园,公园,银行",售价待定
鲁能泰山7号,渝北中央公园 兰桂大道秋成大道交接处（鲁能泰山俱乐...,1室/2室/3室,41-98㎡,"在售,住宅,轨交房,婚房,小三室,品牌开发商",均价 15000 元/㎡
金科城,北碚蔡家 嘉景大道6号,2室/3室/4室,69-126㎡,"待售,住宅,复式,主卧套房,大平层,小三室",售价待定
金色时代,巴南龙洲湾 渝南分流道中段11号,1室/2室/3室/4室/商住,30-128㎡,"在售,住宅,小三室,双阳台,大户型,厨卫全明",均价 8420 元/㎡
北大资源燕南,九龙坡杨家坪 兴堰路11号,1室/2室/3室/4室,47-112㎡,"在售,住宅,投资地产,景区,大型社区,低总价",最低 11000 元/㎡起
北大资源江山名门,江北五里店 海尔路599号,1室/2室,65-90㎡,"待售,住宅,品牌开发商,江景,大型社区,改善房",最低 10300 元/㎡起
